"","date","pce_serv","pce_nondur","pce_price_index","pop","nom_dpi","nom_pce_serv_nondur","real_serv_nondur","real_dpi","real_serv_nondur_pc_lag0","real_serv_nondur_pc_lag1","real_serv_nondur_pc_lag2","real_serv_nondur_pc_lag3","real_serv_nondur_pc_lag4","real_dpi_pc_lag0","real_dpi_pc_lag1","real_dpi_pc_lag2","real_dpi_pc_lag3","real_dpi_pc_lag4"
"115",1988-07-01,2020.733,870.778,55.211,184840.333333333,3818.1,2891.511,5237.2009201065,6915.46974334825,28333.6478876715,28026.8410084057,27826.749347786,27507.1258074922,27358.2808520338,37413.2074890667,37126.9010390007,36791.5359694906,36295.0486848332,35867.1959136101
"116",1988-10-01,2062.056,886.321,55.769,185253.333333333,3893.5,2948.377,5286.76684179383,6981.4771647331,28538.038947354,28333.6478876715,28026.8410084057,27826.749347786,27507.1258074922,37686.1082017405,37413.2074890667,37126.9010390007,36791.5359694906,36295.0486848332
"117",1989-01-01,2101.195,902.525,56.41,185772.666666667,3980.9,3003.72,5324.80056727531,7057.08207764581,28662.9925856081,28538.038947354,28333.6478876715,28026.8410084057,27826.749347786,37987.7309416481,37686.1082017405,37413.2074890667,37126.9010390007,36791.5359694906
"118",1989-04-01,2132.674,927.749,57.17,186178,4021.33333333333,3060.423,5353.19748119643,7033.99218704449,28753.1151972651,28662.9925856081,28538.038947354,28333.6478876715,28026.8410084057,37781.0062791763,37987.7309416481,37686.1082017405,37413.2074890667,37126.9010390007
"119",1989-07-01,2167.474,936.288,57.507,186602.333333333,4071.73333333333,3103.762,5397.18990731563,7080.41339894853,28923.4856333467,28753.1151972651,28662.9925856081,28538.038947354,28333.6478876715,37943.8631472018,37781.0062791763,37987.7309416481,37686.1082017405,37413.2074890667
"120",1989-10-01,2210.469,951.338,57.959,187017.666666667,4139.16666666667,3161.807,5455.24767508066,7141.54258470068,29169.6916784011,28923.4856333467,28753.1151972651,28662.9925856081,28538.038947354,38186.4596644204,37943.8631472018,37781.0062791763,37987.7309416481,37686.1082017405
"121",1990-01-01,2248.382,974.173,58.799,188519.666666667,4232.9,3222.555,5480.62892226058,7198.93195462508,29071.9213499949,29169.6916784011,28923.4856333467,28753.1151972651,28662.9925856081,38186.6363436445,38186.4596644204,37943.8631472018,37781.0062791763,37987.7309416481
"122",1990-04-01,2304.16,980.853,59.333,188916.333333333,4302.9,3285.013,5536.56986837005,7252.11939392918,29306.9941104618,29071.9213499949,29169.6916784011,28923.4856333467,28753.1151972651,38387.9957120128,38186.6363436445,38186.4596644204,37943.8631472018,37781.0062791763
"123",1990-07-01,2350.024,1003.106,60.087,189352.666666667,4358.16666666667,3353.13,5580.45833541365,7253.0941246304,29471.2423841244,29306.9941104618,29071.9213499949,29169.6916784011,28923.4856333467,38304.6843348587,38387.9957120128,38186.6363436445,38186.4596644204,37943.8631472018
"124",1990-10-01,2368.207,1018.756,60.882,189866.333333333,4380.53333333333,3386.963,5563.15988305246,7195.1206158361,29300.4019479623,29471.2423841244,29306.9941104618,29071.9213499949,29169.6916784011,37895.7158413345,38304.6843348587,38387.9957120128,38186.6363436445,38186.4596644204
"125",1991-01-01,2387.721,1014.15,61.202,190271.666666667,4417,3401.871,5558.43109702297,7217.08440900624,29213.1308586301,29300.4019479623,29471.2423841244,29306.9941104618,29071.9213499949,37930.4209367636,37895.7158413345,38304.6843348587,38387.9957120128,38186.6363436445
"126",1991-04-01,2429.918,1021.765,61.536,190655.666666667,4474.43333333333,3451.683,5609.20924336973,7271.24501646733,29420.6269419551,29213.1308586301,29300.4019479623,29471.2423841244,29306.9941104618,38138.1007110585,37930.4209367636,37895.7158413345,38304.6843348587,38387.9957120128
"127",1991-07-01,2464.541,1024.392,61.954,191121.333333333,4522.06666666667,3488.933,5631.48949220389,7299.07135401534,29465.5201174327,29420.6269419551,29213.1308586301,29300.4019479623,29471.2423841244,38190.7724622509,38138.1007110585,37930.4209367636,37895.7158413345,38304.6843348587
"128",1991-10-01,2501.877,1020.699,62.404,191650.666666667,4590.56666666667,3522.576,5644.79200051279,7356.20579877358,29453.5474292434,29465.5201174327,29420.6269419551,29213.1308586301,29300.4019479623,38383.4083476895,38190.7724622509,38138.1007110585,37930.4209367636,37895.7158413345
"129",1992-01-01,2566.552,1037.668,62.795,192074.666666667,4708.4,3604.22,5739.66080101919,7498.04920773947,29882.4457208613,29453.5474292434,29465.5201174327,29420.6269419551,29213.1308586301,39037.1585064461,38383.4083476895,38190.7724622509,38138.1007110585,37930.4209367636
"130",1992-04-01,2607.453,1047.218,63.212,192506.666666667,4784.1,3654.671,5781.60950452446,7568.34145415428,30033.2949743271,29882.4457208613,29453.5474292434,29465.5201174327,29420.6269419551,39314.697954119,39037.1585064461,38383.4083476895,38190.7724622509,38138.1007110585
"131",1992-07-01,2653.829,1061.049,63.615,193024.333333333,4835.46666666667,3714.878,5839.62587440069,7601.14228824439,30253.3145617255,30033.2949743271,29882.4457208613,29453.5474292434,29465.5201174327,39379.1920271419,39314.697954119,39037.1585064461,38383.4083476895,38190.7724622509
"132",1992-10-01,2709.331,1074.81,64.059,193615.666666667,4890.8,3784.141,5907.27454377995,7634.83663497713,30510.3127524802,30253.3145617255,30033.2949743271,29882.4457208613,29453.5474292434,39432.9486162989,39379.1920271419,39314.697954119,39037.1585064461,38383.4083476895
"133",1993-01-01,2742.534,1079.129,64.441,194106,4938.66666666667,3821.663,5930.48369826663,7663.85789585305,30552.8097960219,30510.3127524802,30253.3145617255,30033.2949743271,29882.4457208613,39482.8490404885,39432.9486162989,39379.1920271419,39314.697954119,39037.1585064461
"134",1993-04-01,2784.412,1086.326,64.874,194555.333333333,4987.33333333333,3870.738,5966.54746123254,7687.72286791832,30667.611928222,30552.8097960219,30510.3127524802,30253.3145617255,30033.2949743271,39514.326007948,39482.8490404885,39432.9486162989,39379.1920271419,39314.697954119
"135",1993-07-01,2838.023,1092.528,65.155,195068,5013.2,3930.551,6032.61606937303,7694.26751592357,30925.7083138856,30667.611928222,30552.8097960219,30510.3127524802,30253.3145617255,39444.0272926547,39514.326007948,39482.8490404885,39432.9486162989,39379.1920271419
"136",1993-10-01,2873.579,1105.275,65.531,195621,5077.13333333333,3978.854,6071.71262455937,7747.68175876048,31038.1432696866,30925.7083138856,30667.611928222,30552.8097960219,30510.3127524802,39605.5728104881,39444.0272926547,39514.326007948,39482.8490404885,39432.9486162989
"137",1994-01-01,2915.554,1116.845,65.766,196085.333333333,5128.46666666667,4032.399,6131.4341757139,7798.0516781721,31269.2136198214,31038.1432696866,30925.7083138856,30667.611928222,30552.8097960219,39768.6637017154,39605.5728104881,39444.0272926547,39514.326007948,39482.8490404885
"138",1994-04-01,2956.348,1128.094,66.133,196522,5208.53333333333,4084.442,6176.10270213056,7875.84614841809,31427.0295546074,31269.2136198214,31038.1432696866,30925.7083138856,30667.611928222,40076.1550789127,39768.6637017154,39605.5728104881,39444.0272926547,39514.326007948
"139",1994-07-01,2993.87,1149.581,66.607,197050,5276.8,4143.451,6220.74406593902,7922.29044995271,31569.3685152957,31427.0295546074,31269.2136198214,31038.1432696866,30925.7083138856,40204.4681550505,40076.1550789127,39768.6637017154,39605.5728104881,39444.0272926547
"140",1994-10-01,3031.873,1163.01,66.92,197600.666666667,5377.53333333333,4194.883,6268.50418410042,8035.76409643355,31723.0922842724,31569.3685152957,31427.0295546074,31269.2136198214,31038.1432696866,40666.6851483306,40204.4681550505,40076.1550789127,39768.6637017154,39605.5728104881
"141",1995-01-01,3074.329,1166.854,67.247,197882,5449.46666666667,4241.183,6306.8731690633,8103.6576600691,31871.8891514302,31723.0922842724,31569.3685152957,31427.0295546074,31269.2136198214,40951.9696590347,40666.6851483306,40204.4681550505,40076.1550789127,39768.6637017154
"142",1995-04-01,3129.711,1176.984,67.639,198295.666666667,5496.36666666667,4306.695,6367.17722024276,8126.03182582041,32109.5126649738,31871.8891514302,31723.0922842724,31569.3685152957,31427.0295546074,40979.3716747235,40951.9696590347,40666.6851483306,40204.4681550505,40076.1550789127
